,employer,union,city,county,start_date,end_date,employer_type,union_type,contract_pdf_link
10,Aberdeen Tp-Monmouth,IBT Loc 11,Aberdeen Tp,Monmouth,01/01/1981,12/31/1983,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/0022588a9c2459cb8525718000533a71/$FILE/Aberdeen%20Tp%20and%20IBT%20Loc%2011%201981.pdf
11,Aberdeen Tp-Monmouth,IBT Loc 11,Aberdeen Tp,Monmouth,01/01/1978,12/31/1980,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/d60813e8889b2db885257178006a3d13/$FILE/Aberdeen%20Tp%20and%20IBT%20Loc%2011%201978.pdf
12,Aberdeen Tp-Monmouth,IBT Loc 469,Aberdeen Tp,Monmouth,01/01/2015,12/31/2016,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/2e136543ead8cb9385257ece0069ab53/$FILE/Flemington%20Boro%20and%20IBT%20Loc%20469%202015.pdf
13,Aberdeen Tp-Monmouth,Monmouth Co 9,Aberdeen Tp,Monmouth,01/01/1980,12/31/1981,Municipal,Crossing Guards,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/05780c4524d5434485257177005d54e9/$FILE/Aberdeen%20Tp%20and%20Monmouth%20Co%209%201980.pdf
14,Aberdeen Tp-Monmouth,Monmouth Co 9,Aberdeen Tp,Monmouth,01/01/1978,12/31/1980,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/13df5d89529ad7638525718000530e07/$FILE/ATTRRTOX/Aberdeen%20Tp%20and%20Monmouth%20Co%209%201978.pdf
15,Aberdeen Tp-Monmouth,PBA Loc 163,Aberdeen Tp,Monmouth,01/01/2013,12/31/2015,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/8b35de1a1f5534cd85257bfe006e9932/$FILE/Aberdeen%20Tp%20and%20PBA%20Loc%20163%202013.pdf
16,Aberdeen Tp-Monmouth,PBA Loc 163,Aberdeen Tp,Monmouth,01/01/2004,12/31/2007,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ef13569a6ec1c63985257909005aaae0/$FILE/Aberdeen%20Tp%20and%20PBA%20Loc%20163%202004.pdf
17,Aberdeen Tp-Monmouth,PBA Loc 163,Aberdeen Tp,Monmouth,01/01/1994,12/31/1999,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/af7847779ed2157885257704006f9069/$FILE/ATT241DF/Aberdeen%20Tp%20and%20PBA%20Loc%20163%201994.pdf
18,Aberdeen Tp-Monmouth,PBA Loc 163,Aberdeen Tp,Monmouth,01/01/1988,12/31/1989,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ad564ba8c79fb80d852572d70066b819/$FILE/Aberdeen%20Tp%20and%20PBA%20Loc%20163%201988.pdf
19,Aberdeen Tp-Monmouth,PBA Loc 163,Aberdeen Tp,Monmouth,01/01/1980,12/31/1981,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/a03cf423952a286685257178006a92ab/$FILE/Aberdeen%20Tp%20and%20PBA%20Loc%20163%201980.pdf
20,Aberdeen Tp-Monmouth,PBA Loc 163 MOA,Aberdeen Tp,Monmouth,01/01/2008,12/31/2011,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/65560dbfad55cb1485257909005b9024/$FILE/Aberdeent%20Tp%20and%20PBA%20Loc%20163%20MOA%202008.pdf
21,Aberdeen Tp-Monmouth,PBA Loc 163 (Superiors),Aberdeen Tp,Monmouth,01/01/2013,12/31/2015,Municipal,Police Superior Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/61e7a361069f20fb85257bfe007113cd/$FILE/Aberdeen%20Tp%20and%20PBA%20Loc%20163%20SOA%20MOA%202013.pdf
22,Aberdeen Tp-Monmouth,PBA Loc 163 (Superiors),Aberdeen Tp,Monmouth,01/01/1994,12/31/1997,Municipal,Police Superior Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/9572aa1336b32e6a85257909005c587f/$FILE/Aberdeent%20Tp%20and%20PBA%20Loc%20163%20SOA%201994.pdf
23,Aberdeen Tp-Monmouth,PBA Loc 163 (Superiors) MOA,Aberdeen Tp,Monmouth,01/01/2009,12/31/2012,Municipal,Police Superior Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/cde2fa83fb1578c385257909005e87b1/$FILE/Aberdeen%20Tp%20and%20SOA%20MOA%202009.pdf
24,Aberdeen Tp-Monmouth,PBA Loc 338,Aberdeen Tp,Monmouth,01/01/2014,12/31/2016,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/6106d75fc67f72188525808f00751c40/$FILE/Milltown%20Boro%20and%20PBA%20Loc%20338%20MOA%202014.pdf
25,Aberdeen Tp-Monmouth,PBA Loc 50,Aberdeen Tp,Monmouth,01/01/2014,12/31/2017,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/c3b9dd4fc32e1e4e85257d81005104ff/$FILE/Belmar%20Boro%20and%20PBA%20Loc%2050%202014.pdf
26,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2018,12/31/2021,Municipal,Dispatchers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/28ab96c29be7afc08525833c007276e1/$FILE/Absecon%20and%20GWU%20Disp%202018.pdf
27,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2018,12/31/2020,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/86ff87fe4c873bc785258450004b8956/$FILE/Absecon%20and%20GWU%20WC%202018.pdf
28,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2015,12/31/2017,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/a67d98f354a22a4f85257ed6004f2ce4/$FILE/Absecon%20and%20GWU%202015.pdf
29,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2015,12/31/2017,Municipal,Telecommunicators,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/142887c7ba6ec15b85257ed600503315/$FILE/Absecon%20and%20GWU%202015.pdf
30,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2012,12/31/2014,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/bcdb898befba9a6385257dc80057a906/$FILE/Absecon%20and%20GWU%202012.pdf
31,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2012,12/31/2014,Municipal,Telecommunicators,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/f736b93aea14aa9a85257ed6004f7a80/$FILE/Absecon%20and%20GWU%202012.pdf
32,Absecon-Atlantic,GWU,Absecon,Atlantic,01/01/2009,12/31/2011,Municipal,"Deputy Clerk, Deputy Court Administrator, Dispatchers, Other, White Collar, Custodians",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/163c4a3156a2bad285257b08007565ca/$FILE/Absecon%20and%20GWU%202009.pdf
33,Absecon-Atlantic,IBT Loc 107,Absecon,Atlantic,01/01/2019,12/31/2023,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ad7bae9bc9c7c15d8525845000574dee/$FILE/Absecon%20and%20IBA%20Loc%20107%202019.pdf
34,Absecon-Atlantic,IBT Loc 107,Absecon,Atlantic,01/01/2015,12/31/2018,Municipal,"Equipment Mechanics, Ground Keepers, Laborers",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/15a69a17f751a08985257ec90070efca/$FILE/Absecon%20and%20IBT%20Loc%20107%202015.pdf
35,Absecon-Atlantic,IBT Loc 107,Absecon,Atlantic,01/01/2011,12/31/2014,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/266c0a8fc966cc9285257adb005f4ee1/$FILE/Absecon%20&%20IBT%20Loc%20107%202011.pdf
36,Absecon-Atlantic,IBT Loc 107,Absecon,Atlantic,01/01/1990,12/31/1992,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/e24c5131f0622f4a8525737e00699b78/$FILE/ATTTVGLF/Absecon%20and%20IBT%20Loc%20107%201990.pdf
37,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/2020,12/31/2023,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/aee22b49cb89e963852585a0005ae5f1/$FILE/Absecon%20and%20PBA%20Loc%2077%202020.pdf
38,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/2016,12/31/2019,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/3f8455243fb817d1852581be00596305/$FILE/Absecon%20and%20PBA%20Loc%2077%202016.pdf
39,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/2012,12/31/2015,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/e21e96b8013b454b85257d47006222f0/$FILE/Absecon%20and%20PBA%20Loc%2077%202012.pdf
40,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/2009,12/31/2011,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/dc1b60e10de55a9c85257b0800759569/$FILE/Absecon%20and%20PBA%20Loc%2077%202009.pdf
41,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1990,12/31/1991,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/10c5bda49056aadd8525726000622f8b/$FILE/Absecon%20and%20PBA%20Loc%2077%201990.pdf
42,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1988,12/31/1989,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/36398036f8520922852572600061ea93/$FILE/ATTG4H90/Absecon%20and%20PBA%20Loc%2077%201988.pdf
43,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1986,12/31/1987,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/26bd6f463df564bc852572600062144f/$FILE/ATTDBSCI/Absecon%20and%20PBA%20Loc%2077%201986.pdf
44,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1983,12/31/1984,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/655ae0392df2c3f5852572600061cc88/$FILE/ATTGJUM3/Absecon%20and%20PBA%20Loc%2077%201983.pdf
45,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1981,12/31/1982,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/c3ca0fde11883b15852579800071392c/$FILE/ATTNH9J8/Absecon%20and%20PBA%20Loc%2077%201981.pdf
46,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1980,12/31/1980,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/447fb90c82ed66c78525798000711ca1/$FILE/ATTDM0GD/Absecon%20and%20PBA%20Loc%2077%201980.pdf
47,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1979,12/31/1980,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/42b3bddf39007b9185257980006e0047/$FILE/ATT7ZRDZ/Absecon%20and%20PBA%20Loc%2077%201979.pdf
48,Absecon-Atlantic,PBA Loc 77,Absecon,Atlantic,01/01/1977,12/31/1977,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/1ce35e79c9e37b27852579800070e31e/$FILE/ATTGZ9HU/Absecon%20and%20PBA%20Loc%2077%201977.pdf
49,Alexandria Tp-Hunterdon,IBT Loc 469,Alexandria Tp,Hunterdon,01/01/2011,12/31/2015,Municipal,"Blue Collar, White Collar",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ecfedc9bee19bccf85257af6005b480d/$FILE/Alexandria%20Tp%20and%20IBT%20Loc%20469%202011.pdf
50,Allendale Boro-Bergen,IBT Loc 11,Allendale Boro,Bergen,01/01/2020,12/31/2023,Municipal,Dept of Public Works - All Divisions,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/d396501a8fa0f81085258601004ba72a/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%20PW%20MOU%202020.pdf
51,Allendale Boro-Bergen,IBT Loc 11,Allendale Boro,Bergen,01/01/2016,12/31/2019,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/fff404fcc31d85f0852580b9006a69a8/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%202016.pdf
52,Allendale Boro-Bergen,IBT Loc 11,Allendale Boro,Bergen,01/01/2013,12/31/2015,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/6a96ea8ef7db40de85257bff004ffbbb/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%202013.pdf
53,Allendale Boro-Bergen,IBT Loc 11,Allendale Boro,Bergen,01/01/2009,12/31/2012,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/31d32fb6b6a2235f85257577006a4472/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%202009.pdf
54,Allendale Boro-Bergen,IBT Loc 11,Allendale Boro,Bergen,01/01/2004,12/31/2007,Municipal,Blue Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/7a1979cc4f297227852572d6006c095f/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%20Blue%20Collar%202004.pdf
55,Allendale Boro-Bergen,IBT Loc 11 MOA,Allendale Boro,Bergen,01/01/2016,12/31/2019,Municipal,Dept of Public Works - All Divisions,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/33a7cf46ffabfcba8525847b004d8762/$FILE/Allendale%20Boro%20and%20IBT%20Loc%2011%20MOA%201%202016.pdf
56,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/2018,12/31/2020,Municipal,"Detectives, Lieutenants, Police Officers, Sergeants",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/bcef429d7f69b95d8525832b006f9c80/$FILE/Allendale%20Boro%20and%20PBA%20Loc%20217%202018.pdf
57,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/2012,12/31/2014,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/2fd16b38411e258585257a84004ca712/$FILE/Allendale%20Boro%20and%20PBA%20Loc%20217%202012.pdf
58,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/2009,12/31/2011,Municipal,"Police Officers, Police Superior Officers",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ddfd6369bc8d5f88852575770069c3c0/$FILE/Allendale%20Boro%20and%20PBA%20Loc%20217%202009.pdf
59,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/2008,12/31/2008,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/093ff40e4661e4dc8525742b0058bf54/$FILE/Allendale%20Boro%20and%20PBA%20Loc%20217%202008.pdf
60,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/2005,12/31/2007,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/fbbe9ad1c04a8085852572d6006c6ff0/$FILE/Allendale%20Boro%20and%20PBA%20Loc%20217%202005.pdf
61,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1989,12/31/1990,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/b69c8f86faf03da6852572ff0072228d/$FILE/ATT78XMV/Allendale%20Boro%20and%20PBA%20Loc%20217%201989.pdf
62,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1987,12/31/1988,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/a46c391947f97aa6852572ff00720b6a/$FILE/ATTQS07N/Allendale%20Boro%20and%20PBA%20Loc%20217%201987.pdf
63,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1985,12/31/1986,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/3811d8fb65b33a18852572ff0071f8df/$FILE/ATTM6Y5N/Allendale%20Boro%20and%20PBA%20Loc%20217%201985.pdf
64,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1981,12/31/1981,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/41cea698a99b5d3a852572ff0072493b/$FILE/ATTC5VVM/Allendale%20Boro%20and%20PBA%20Loc%20217%201981.pdf
65,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1981,12/31/1981,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/58ff8020cd016cba852572f1005f9353/$FILE/ATTOBV6Z/Allendale%20Boro%20and%20PBA%20Loc%20217%201980.pdf
66,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1980,12/31/1980,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/ea9db53377d367b2852572ff00726508/$FILE/ATTT86Z2/Allendale%20Boro%20and%20PBA%20Loc%20217%201980.pdf
67,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1979,12/31/1979,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/253e71c2f34de2058525799800689f72/$FILE/ATTW06K8/Allendale%20Boro%20and%20PBA%20Loc%20217%201979.pdf
68,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1979,12/31/1979,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/b98d04e68cd09d65852572ff00727c6e/$FILE/ATTAOLKQ/Allendale%20Boro%20and%20PBA%20Loc%20217%201979.pdf
69,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1978,12/31/1978,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/408493fc4f301cf78525799800687bc9/$FILE/ATTJAB0B/Allendale%20Boro%20and%20PBA%20Loc%20217%201978.pdf
70,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1978,12/31/1978,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/4dfe846d048537db852572ff0072fd75/$FILE/ATTR6N4Q/Allendale%20Boro%20and%20PBA%20Loc%20217%201978.pdf
71,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1976,12/31/1976,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/989e8c8856e75493852579980068597e/$FILE/ATTA0243/Allendale%20Boro%20and%20PBA%20Loc%20217%201976.pdf
72,Allendale Boro-Bergen,PBA Loc 217,Allendale Boro,Bergen,01/01/1973,12/31/1973,Municipal,Police Officers,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/25c40f56a78e9fca8525799800680206/$FILE/ATTRR082/Allendale%20Boro%20and%20PBA%20Loc%20217%201973.pdf
73,Allendale Boro-Bergen,United Pub Service Ees Union,Allendale Boro,Bergen,01/01/2016,12/31/2019,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/2a195c8d213fe002852580b5005c70b4/$FILE/Allendale%20Boro%20and%20United%20Public%20Service%20Employees%20Union%202016.pdf
74,Allendale Boro-Bergen,United Pub Service Ees Union,Allendale Boro,Bergen,01/01/2016,12/31/2019,Municipal,"Dispatchers, Traffic Maintenance Workers, White Collar",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/e91af7e0786d248385258601004b70ab/$FILE/Allendale%20Boro%20and%20UPSEU%202016.pdf
75,Allendale Boro-Bergen,United Pub Service Ees Union,Allendale Boro,Bergen,01/01/2010,12/31/2015,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/c0bd34f1db91c5b785257ece0068840d/$FILE/Allendale%20Boro%20and%20UPSEU%20Ees%20Union%202010.pdf
76,Allendale Boro-Bergen,United Pub Service Ees Union,Allendale Boro,Bergen,01/01/2010,12/31/2012,Municipal,"Dispatchers, White Collar",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/459e212cf4aae7f4852579c80069d059/$FILE/Allendale%20Boro%20and%20UPSEU%202010.pdf
77,Allendale Boro-Bergen,United Pub Service Ees Union MOA,Allendale Boro,Bergen,01/01/2020,12/31/2023,Municipal,White Collar,https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/dc2a843355293eee8525863e00515113/$FILE/Allendale%20Boro%20and%20UPSEU%20MOA%202020-2023.pdf
78,Allendale Boro-Bergen,United Pub Service Ees Union MOA,Allendale Boro,Bergen,01/01/2016,12/31/2019,Municipal,"Dispatchers, White Collar",https://www.perc.state.nj.us/publicsectorcontracts.nsf/3efe43d612f7eb5285256f9400714ad6/e912a5d444bd1daa8525847b004dea89/$FILE/Allendale%20and%20UPSEU%20MOA%202016.pdf
