,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court,Consolidated with Docket Number(s),History,Filenames
30,IA-2014-079,IA-2014-079,Mercer Cty Prosecutor,PBA Loc 339,Mercer,"Gifford, R",08/10/2015,Conventional,Award Issued,,, ,IA-2014-079 Award Received on 08/10/2015,IA-2014-079.pdf
31,IA-2015-003,IA-2015-003,NJ/State,FOP Lodge 91,Mercer,"Osborn, S",06/23/2015,Conventional,Appealed,,, ,IA-2015-003 Award Received on 06/23/2015; IA-2015-003 Award Received 06/23/2015; IA-2015-003 Award Received on 06/23/2015,IA-2015-003.pdf; Remand IA-2015-003.pdf
32,IA-2015-003,IA-2015-003,NJ/State,FOP Lodge 91,Mercer,"Osborn, S",06/23/2015,Conventional,Appealed,,, ,IA-2015-003 Award Received on 06/23/2015; IA-2015-003 Award Received 06/23/2015; IA-2015-003 Award Received on 06/23/2015,IA-2015-003.pdf; Remand IA-2015-003.pdf
33,IA-2015-010,IA-2015-010,City of Atlantic City,IAFF Loc 198,Atlantic,"Osborn , S",06/04/2015,Conventional,Appealed,,, ,IA-2015-010 Award Received on 06/04/2015,ia-2015-010.pdf
34,IA-2015-007,IA-2015-007,Township of Rockaway,FOP Lodges 31 & 31 SOA,Morris,"Cure, I",05/06/2015,Conventional,Award Issued,,, ,IA-2015-007 Award Received on 05/06/2015,Award IA-2015-007.pdf
35,IA-2014-044,IA-2014-044,Oakland Boro,PBA Loc 164,Bergen,"Gifford, R",05/04/2015,Conventional,Appealed,,, ,IA-2014-044 Award Received on 05/04/2015,Award IA-2014-044.pdf
36,IA-2015-001,IA-2015-001,Atlantic Cty,PBA Loc 77,Atlantic,"Mastriani, J",11/13/2014,Conventional,Award Issued,,, ,IA-2015-001 Award Received on 11/13/2014,Award IA-2015-001.pdf
37,IA-2014-020,IA-2014-020,Ocean Cty,PBA Loc 258,Ocean,"Osborn, S",10/07/2014,Conventional,Award Issued,,, ,IA-2014-020 Award Received on 10/07/2014,IA-2014-020.pdf
38,IA-2014-014,IA-2014-014,Atlantic Cty,FOP Lodge 34 (Corrections),Atlantic,"Mastriani, J",10/02/2014,Conventional,Award Issued,,, ,IA-2014-014 Award Received on 10/02/2014,IA-2014-014.pdf
39,IA-2014-084,IA-2014-084,Monmouth Cty Prosecutor,PBA Loc 256 (Superiors),Monmouth,"Osborn, S",08/04/2014,Conventional,Award Issued,,, ,IA-2014-084 Award Received on 08/04/2014,IA-2014-084.docx
40,IA-2014-085,IA-2014-085,Monmouth Cty Prosecutor,PBA Loc 256,Monmouth,"Osborn, S",08/04/2014,Conventional,Award Issued,,, ,IA-2014-085 Award Received on 08/04/2014,IA-2014-085.docx
41,IA-2014-066,IA-2014-066,Irvington Tp,PBA Local 29,Essex,"Osborn, S",06/17/2014,Conventional,,,, ,IA-2014-066 Award Received on 06/17/2014,IA-2014-066.pdf
42,IA-2014-018,IA-2014-018,Camden,IAFF Local 788,Camden,"Osborn, S",05/20/2014,Conventional,Appealed,,, ,IA-2014-018 Award Received 08/11/2014; IA-2014-018 Award Received on 05/20/2014,Remand IA-2014-018.pdf; IA-2014-018.pdf
43,IA-2011-037,IA-2011-037,West Orange Tp,PBA Loc 25,Essex,"Mastriani, J",03/04/2014,Conventional,Award Issued,,, ,IA-2011-037 Award Received on 03/04/2014,IA-2011-037.pdf
44,IA-2014-003,IA-2014-003,NJ/State,NJ Law Enforcement Supvs Assn,Mercer,"Mastriani, J",01/28/2014,Conventional,Appealed,,, ,IA-2014-003 Award Received on 01/28/2014,IA-2014-003.pdf
45,IA-2014-006,IA-2014-006,Borough of Mantoloking,PBA Loc 347,Ocean,"Gifford, R",01/27/2014,Conventional,Award Issued,,, ,IA-2014-006 Award Received on 01/27/2014,IA-2014-006.pdf
46,IA-2010-103,IA-2010-103,Borough of Metuchen,PBA Loc 60,Middlesex,"Mastriani, J",01/15/2014,Conventional,Award Issued,,, ,IA-2010-103 Award Received on 01/15/2014,IA-2010-103.pdf
47,IA-2014-004,IA-2014-004,Hudson Cty,PBA Loc 334,Hudson,"Osborn, S",12/30/2013,Conventional,Award Issued,,, ,IA-2014-004 Award Received on 12/30/2013,IA-2014-004.pdf
48,IA-2011-030,IA-2011-030,Green Brook Tp,FOP Lodge 23,Somerset,"Mastriani, J",12/30/2013,Conventional,Award Issued,,, ,IA-2011-030 Award Received on 12/30/2013,IA-2011-030.pdf
49,IA-2009-112,IA-2009-112,City of Vineland,FMBA Local 49,Cumberland,"Mastriani, J",11/12/2013,Conventional,Award Issued,,, ,IA-2009-112 Award Received on 11/12/2013,IA-2009-112.pdf
50,IA-2009-102,IA-2009-102,Burlington Cty Sheriff's Office,FOP Lodge 166,Burlington,"Mastriani, J",09/23/2013,Conventional,Award Issued,,, ,IA-2009-102 Award Received on 09/23/2013,Award IA-2009-102.pdf
51,IA-2014-001,IA-2014-001,Warren Cty,FOP Lodge 171,Warren,"Osborn, S",09/23/2013,Conventional,Appealed,,, ,IA-2014-001 Award Received on 09/23/2013,Award IA-2014-001.pdf
52,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",09/09/2013,Conventional,Appealed,,, ,"IA-2012-016 Award Received on 09/09/2013; IA-2012-016 Award Received 08/02/2012; IA-2012-016 Award Affirmed in Part and Remanded per Commission Decision, PERC 2012-061 issued 05/30/2012; IA-2012-016 Award Received on 04/24/2012",Remand IA-2012-016.pdf; IA-2012-16 Clarification 2012.08.13.pdf; PERC 2012-061.pdf; IA-2012-16.pdf
53,IA-2009-079,IA-2009-079,Hanover Tp,PBA Loc 128,Morris,"Mastriani, J",07/30/2013,Conventional,Award Issued,,, ,IA-2009-079 Award Received on 07/30/2013,ia-2009-079.pdf
54,IA-2013-016,IA-2013-016,City of Atlantic City,PBA local 24 (Atlantic City),Atlantic,"Pecklers, M",07/02/2013,Conventional,Appealed,,, ,IA-2013-016 Award Received on 07/02/2013; IA-2013-016 Award Received on 04/11/2013,IA-2013-016.PDF; IA-2013-016.PDF
55,IA-2013-026,IA-2013-026,Union Beach Borough,PBA Local 291 (Monmouth Cty),Monmouth,"Mason, F",06/29/2013,Conventional,Appealed,,, ,IA-2013-026 Award Received on 06/29/2013,IA-2013-026.PDF
56,IA-2013-024,IA-2013-024,Borough of Ship Bottom,PBA Local 175 (Ocean Cty),Ocean,"Osborn, S",06/17/2013,Conventional,Award Issued,,, ,IA-2013-024 Award Received on 06/17/2013,IA-2013-024.PDF
57,IA-2011-013,IA-2011-013,NJ/State (Corrections),NJLECOA,Mercer,"Hundley, T",06/13/2013,Conventional,Award Issued,,, ,IA-2011-013 Award Received on 06/13/2013,IA-2011-013.PDF
58,IA-2013-023,IA-2013-023,City of East Orange,FOP Lodge 111 (Essex Cty),Essex,"Osborn, S",06/13/2013,Conventional,Award Issued,,, ,IA-2013-023 Award Received on 06/13/2013,IA-2013-023.PDF
59,IA-2013-012,IA-2013-012,Township of Byram,PBA Local 138 (Sussex Cty),Sussex,"Osborn, S",06/03/2013,Conventional,Award Issued,,, ,IA-2013-012 Award Received on 06/03/2013; IA-2013-012 Award Received on 03/11/2013,IA-2013-012.PDF; IA-2013-012.pdf
60,IA-2013-022,IA-2013-022,Mahwah Township,PBA Local 143 (Bergen Cty),Bergen,"Gifford, R",05/28/2013,Conventional,Award Issued,,, ,IA-2013-022 Award Received on 05/28/2013,IA-2013-022.PDF
61,IA-2013-017,IA-2013-017,Borough of Riverdale,PBA Local 335 (Morris Cty),Morris,"Osborn, S",05/16/2013,Conventional,Award Issued,,, ,IA-2013-017 Award Received on 05/16/2013,IA-2013-017.PDF
62,IA-2009-065,IA-2009-065,City of Camden,IAFF Loc 788,Camden,"Osborn, S",05/13/2013,Conventional,Award Issued,,, ,"IA-2009-065 Award Remanded per Commission Decision,  issued 05/13/2013; IA-2009-065 Award Received on 05/13/2013; IA-2009-065 Award Affirmed per Commission Decision, PERC 2012-018 issued 10/27/2011; IA-2009-065 Award Received on 08/16/2011",IA-2009-065.PDF; Remand IA-2009-065.pdf; PERC 2012-018.pdf; IA-2009-65.pdf
63,IA-2013-018,IA-2013-018,Borough of Tenafly,PBA Local 376 (Bergen Cty),Bergen,"Gifford, R",05/06/2013,Conventional,Appealed,,, ,IA-2013-018 Award Received on 05/06/2013,IA-2013-018.PDF
64,IA-2009-060,IA-2009-060,Mercer Cty,PBA Loc 187,Mercer,"Mastriani, J",04/29/2013,Conventional,Award Issued,,, ,IA-2009-060 Award Received on 04/29/2013,IA-2009-060.pdf
65,IA-2013-009,IA-2013-009,Camden Cty Sheriff,PBA Local 277,Camden,"Osborn, S",04/15/2013,Conventional,Award Issued,,, ,IA-2013-009 Award Received on 04/15/2013,IA-2013-009.PDF
66,IA-2013-016,IA-2013-016,Atlantic City,PBA Loc 24,Atlantic,"Pecklers, M",04/11/2013,Conventional,Appealed,,, ,IA-2013-016 Award Received on 07/02/2013; IA-2013-016 Award Received on 04/11/2013,IA-2013-016.PDF; IA-2013-016.PDF
67,IA-2013-007,IA-2013-007,City of Camden,Camden Org of Police Superiors,Camden,"Mason, F",04/05/2013,Conventional,Appealed,,, ,IA-2013-007 Award Received on 04/05/2013; IA-2013-007 Award Received on 12/19/2012,Remand IA-2013-007.pdf; ia-2013-007.pdf
68,IA-2013-013,IA-2013-013,Borough of Midland Park,PBA Loc 79,Bergen,"Osborn, S",03/28/2013,Conventional,Appealed,,, ,IA-2013-013 Award Received on 03/28/2013,IA-2013-013.pdf
69,IA-2013-011,IA-2013-011,Atlantic City,Atlantic City Police SOA,Atlantic,"Pecklers, M",03/19/2013,Conventional,Appealed,,, ,IA-2013-011 Award Received on 03/19/2013,IA-2013-011.pdf
70,IA-2013-010,IA-2013-010,Camden Cty Sheriff's Office,PBA Loc 277 (Superiors),Camden,"Gifford, R",03/18/2013,Conventional,Award Issued,,, ,IA-2013-010 Award Received on 03/18/2013,IA-2013-010.pdf
71,IA-2013-012,IA-2013-012,Township of Byram,PBA Loc 138,Sussex,"Osborn, S",03/11/2013,Conventional,Appealed,,, ,IA-2013-012 Award Received on 06/03/2013; IA-2013-012 Award Received on 03/11/2013,IA-2013-012.PDF; IA-2013-012.pdf
72,IA-2011-007,IA-2011-007,Union Cty Prosecutor's Office,PBA Loc 250 (Detctives and Investigators),Union,"Hundley, T",12/24/2012,Conventional,Award Issued,,, ,IA-2011-007 Award Received on 12/24/2012,ia-2011-007.pdf
73,IA-2010-060,IA-2010-060,Mt Laurel Board of Fire Commissioners Dist No 1,IAFF Loc 4408 and IAFF Loc 4408-O,Burlington,"Mastriani, J",12/24/2012,Conventional,Award Issued,,, ,IA-2010-060 Award Received on 12/24/2012,ia-2010-060.pdf
74,IA-2013-007,IA-2013-007,City of Camden,Camden Org of Police Superiors,Camden,"Mason, F",12/19/2012,Conventional,Appealed,,, ,IA-2013-007 Award Received on 04/05/2013; IA-2013-007 Award Received on 12/19/2012,Remand IA-2013-007.pdf; ia-2013-007.pdf
75,IA-2013-005,IA-2013-005,Burlington Cty,PBA Loc 249,Burlington,"Osborn, S",11/26/2012,Conventional,Award Issued,,, ,IA-2013-005 Award Received on 11/26/2012,IA-2013-005.pdf
76,IA-2009-069,IA-2009-069,Camden,IAFF Local 2578 (Supervisors),Camden,"Weisblatt, J",10/24/2012,Conventional,Award Issued,,, ,IA-2009-069 Award Received on 10/24/2012,IA-2009-069.pdf
77,IA-2013-002,IA-2013-002,Ocean Cty Sheriff's Office,PBA Loc 379A (Superiors),Ocean,"Gifford, R",10/24/2012,Conventional,Award Issued,,, ,IA-2013-002 Award Received on 10/24/2012,IA-2013-002.pdf
78,IA-2010-104,IA-2010-104,Fanwood Boro,PBA Loc 123,Union,"Mastriani, J",10/17/2012,Conventional,Award Issued,,, ,IA-2010-104 Award Received on 10/17/2012,IA-2010-104.pdf
79,IA-2013-001,IA-2013-001,Surf City Boro,PBA Loc 175,Ocean,"Mason, F",09/18/2012,Conventional,Award Issued,,, ,IA-2013-001 Award Received on 09/18/2012,IA-2013-001.pdf
80,IA-2008-099,IA-2008-099,UMDNJ,FOP Lodge 74;FOP Lodge 155 (Superiors),,"Mastriani, J",08/21/2012,Conventional,Award Issued,,, ,IA-2008-099 Award Received on 08/21/2012,IA-2008-099.pdf
81,IA-2010-099,IA-2010-099,N Hudson Reg Fire & Rescue,N Hudson Firefighters Assn,Hudson,"Hundley, T",08/20/2012,Conventional,Appealed,,, ,IA-2010-099 Award Received 11/05/2012 Supplemental award received; IA-2010-099 Award Received on 08/20/2012,ia-2010-099.pdf; IA-2010-099.pdf
82,IA-2012-046,IA-2012-046,Hudson Cty,PBA Loc 109,Hudson,"Osborn, S",07/23/2012,Conventional,Appealed,,, ,IA-2012-046 Award Received on 07/23/2012,IA-2012-046.pdf
83,IA-2009-053,IA-2009-053,Washington Tp,PBA Loc 301,Morris,"Mastriani, J",07/23/2012,Conventional,Award Issued,,, ,IA-2009-053 Award Received on 07/23/2012,IA-2009-053.pdf
84,IA-2012-045,IA-2012-045,Atlantic City,IAFF Loc198,Ocean,"Pecklers, M",07/16/2012,Conventional,Appealed,,, ,IA-2012-045 Award Received on 07/16/2012,IA-2012-045.pdf
85,IA-2010-109,IA-2010-109 & IA-2010-110,Madison Boro,PBA Loc 92 SOA,Morris,"Glasson, R",07/09/2012,Conventional,Appealed,,, ,IA-2010-109 & IA-2010-110 Award Received on 07/09/2012,IA-2010-110.pdf
86,IA-2010-109,IA-2010-109 & IA-2010-110,Madison Boro,PBA Loc 92,Morris,"Glasson, R",07/09/2012,Conventional,Appealed,,, ,IA-2010-109 & IA-2010-110 Award Received on 07/09/2012,IA-2010-109.pdf
87,IA-2012-043,IA-2012-043,Hudson Cty (Corrections),PBA Loc 109A,Hudson,"Osborn, S",07/02/2012,Conventional,Award Issued,,, ,IA-2012-043 Award Received on 07/02/2012,IA-2012-043.pdf
88,IA-2012-035,IA-2012-035,Morris County Sheriff's Office,PBA Loc 298,Morris,"Mason, F",06/18/2012,Conventional,Appealed,,, ,IA-2012-035 Award Received 08/31/2012; IA-2012-035 Award Received on 06/18/2012,IA-2012-035 Supplemental 2012.08.31.pdf; IA-2012-035.pdf
89,IA-2012-037,IA-2012-037,Union County Sheriff's Office,PBA Loc 108,Union,"Osborn, S",06/12/2012,Conventional,Appealed,,, ,IA-2012-037 Award Received on 06/12/2012,IA-2012-037.pdf
90,IA-2011-014,IA-2011-014,Ocean Cty Sheriff's Office,PBA Loc 379,Ocean,"Glasson, R",05/30/2012,Conventional,Award Issued,,, ,IA-2011-014 Award Received on 05/30/2012,IA-2011-014.pdf
91,IA-2012-032,IA-2012-032,Morris Cty Prosecutor's Office,PBA Loc 327,Morris,"Osborn, S",05/25/2012,Conventional,Appealed,,, ,IA-2012-032 Award Received on 05/25/2012,IA-2012-032.pdf
92,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396 SOA,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,,IA-2012-028,"IA-2012-029 Award Received 08/13/2012; IA-2012-029 Award Remanded per Commission Decision, PERC 2012-066 issued 06/25/2012; IA-2012-028 & IA-2012-029 Award Received on 05/17/2012",IA-2012-028 Supplemental 2012.08.13.pdf; PERC 2012-66.pdf; IA-2012-029.pdf
93,IA-2012-028,IA-2012-028 & IA-2012-029,Cumberland Cty Prosecutor,PBA Loc  396,Cumberland,"Mastriani, J",05/17/2012,Conventional,Appealed,,,IA-2012-029,"IA-2012-028 Award Received 08/13/2012; IA-2012-028 Award Remanded per Commission Decision, PERC 2012-066 issued 06/25/2012; IA-2012-028 & IA-2012-029 Award Received on 05/17/2012",IA-2012-028 Supplemental 2012.08.13.pdf; PERC 2012-66.pdf; IA-2012-028.pdf
94,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty (Corrections),PBA Local 152,Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,,"IA-2009-096, IA-2009-097",IA-2009-096 & IA-2009-097 & IA-2010-012 Award Received on 05/14/2012,IA-2010-012.pdf
95,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty Prosecutor's Office,PBA Local 214,Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,,"IA-2009-096, IA-2010-012",IA-2009-096 & IA-2009-097 & IA-2010-012 Award Received on 05/14/2012,IA-2009-097.pdf
96,IA-2009-096,IA-2009-096 & IA-2009-097 & IA-2010-012,Middlesex Cty,PBA Local 152A (Superiors),Middlesex,"Mastriani, J",05/14/2012,Conventional,Award Issued,,,"IA-2009-097, IA-2010-012",IA-2009-096 & IA-2009-097 & IA-2010-012 Award Received on 05/14/2012,IA-2009-096.pdf
97,IA-2012-026,IA-2012-026 & IA-2012-024,Roselle Park Boro,PBA Loc 27 SOA,Union,"Osborn, S",05/03/2012,Conventional,Award Issued,,, ,IA-2012-026 & IA-2012-024 Award Received on 05/03/2012,IA-2012-026.pdf
98,IA-2012-024,IA-2012-024 & IA-2012-026,Roselle Park Boro,PBA Loc 27,Union,"Osborn, S",05/03/2012,Conventional,Award Issued,,, ,IA-2012-024 & IA-2012-026 Award Received on 05/03/2012,IA-2012-024.pdf
99,IA-2012-019,IA-2012-019 & IA-2012-018,Pt Pleasant Boro,Pt Pleasant Boro SOA,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,,IA-2012-018,IA-2012-019 Award Received 12/18/2012 (Remand); IA-2012-019 & IA-2012-018 Award Received on 05/02/2012,ia-2012-018.pdf; IA-2012-19.pdf
100,IA-2012-018,IA-2012-018 & IA-2012-019,Pt Pleasant Boro,PBA Loc 158,Ocean,"Mason, F",05/02/2012,Conventional,Appealed,,, ,IA-2012-018 Award Received 12/18/2012(Remand); IA-2012-018 & IA-2012-019 Award Received on 05/02/2012,ia-2012-018.pdf; IA-2012-18.pdf
101,IA-2012-023,IA-2012-023,Pemberton,PBA Loc 260,Burlington,"Mason, F",04/25/2012,Conventional,Award Issued,,, ,IA-2012-023 Award Received on 04/25/2012,IA-2012-23.pdf
102,IA-2012-016,IA-2012-016,Burlington Cty Prosecutor's Office,PBA Loc 320,Burlington,"Harris, J",04/24/2012,Conventional,Appealed,,, ,"IA-2012-016 Award Received on 09/09/2013; IA-2012-016 Award Received 08/02/2012; IA-2012-016 Award Affirmed in Part and Remanded per Commission Decision, PERC 2012-061 issued 05/30/2012; IA-2012-016 Award Received on 04/24/2012",Remand IA-2012-016.pdf; IA-2012-16 Clarification 2012.08.13.pdf; PERC 2012-061.pdf; IA-2012-16.pdf
103,IA-2012-015,IA-2012-015,Ramsey Boro,PBA Loc 155,Bergen,"Westerkamp, P",04/18/2012,Conventional,Appealed,,, ,"IA-2012-015 Award Received 07/09/2012; IA-2012-015 Award Remanded per Commission Decision, PERC 2012-060 issued 05/24/2012; IA-2012-015 Award Received on 04/18/2012",IA-2012-15 2012.07.09 Supplemental.pdf; PERC 2012-060.pdf; IA-2012-15.pdf
104,IA-2009-048,IA-2009-048,Neptune,PBA Loc 74,Monmouth,"Mastriani, J",04/16/2012,Conventional,Award Issued,,, ,IA-2009-048 Award Received on 04/16/2012,IA-2009-48.pdf
105,IA-2012-022,IA-2012-022,Seaside Park Boro,PBA Loc 182,Ocean,"Osborn, S",04/09/2012,Conventional,Award Issued,,, ,IA-2012-022 Award Received on 04/09/2012,IA-2012-022.pdf
106,IA-2011-006,IA-2011-006,Ocean Cty Prosecutor's Office,PBA Loc 171,Ocean,"Glasson, R",03/26/2012,Conventional,Award Issued,,, ,IA-2011-006 Award Received on 03/26/2012,IA-2011-6.pdf
107,IA-2010-071,IA-2010-071,Atlantic Cty Sheriff's Office,PBA Loc 243,Atlantic,"Hundley, T",03/14/2012,Conventional,Award Issued,,, ,IA-2010-071 Award Received on 03/14/2012,IA-2010-71.pdf
108,IA-2012-012,IA-2012-012,W Caldwell Tp,PBA Loc 81,Essex,"Gifford, R",03/12/2012,Conventional,Appealed,,, ,IA-2012-012 Award Received on 03/12/2012,IA-2012-12.pdf
109,IA-2009-017,IA-2009-017,Guttenberg,PBA Loc 88,Hudson,"Mastriani, J",03/06/2012,Conventional,Award Issued,,, ,IA-2009-017 Award Received on 03/06/2012,IA-2009-17.pdf
110,IA-2012-008,IA-2012-008,New Milford Boro,PBA Loc 83,Bergen,"Westerkamp, P",02/27/2012,Conventional,Appealed,,, ,"IA-2012-008 Award Received 05/24/2012; IA-2012-008 Award Vacated and Remanded per Commission Decision, PERC 2012-053 issued 04/09/2012; IA-2012-008 Award Received on 02/27/2012",IA-2012-8 2012.05.24.pdf; PERC 2012-53.pdf; IA-2012-8.pdf
111,IA-2009-026,IA-2009-026,Old Bridge Tp,PBA Loc 127,Middlesex,"Restaino, G",02/07/2012,Conventional,Award Issued,,, ,IA-2009-026 Award Received on 02/07/2012,IA-2009-26.pdf
